fold,seed,arm,split,auroc,ap,bal_acc_05,bal_acc_cal,auroc_half,post_pre,mean_peak_fail,mean_peak_succ
0,0,A SAFE-LSTM faithful,val_seen,0.6620428751576293,0.7224971054551977,0.5654161412358134,0.6401324085750315,0.6328814627994955,1.1995205879211426,0.7262508869171143,0.5867109298706055
0,0,A SAFE-LSTM faithful,val_unseen,0.6067510969286,0.6603439721021945,0.5782309533306742,0.518348623853211,0.5823693657758277,1.4521105289459229,0.6779088973999023,0.5601823925971985
0,0,B SAFE-LSTM as-run,val_seen,0.6604665825977302,0.7316707061039186,0.5639974779319041,0.6319356872635561,0.6417087011349306,0.9621018767356873,0.7362333536148071,0.5958251357078552
0,0,B SAFE-LSTM as-run,val_unseen,0.5963302752293578,0.6376432137871544,0.5727961707219784,0.5166533705624252,0.5881531711208616,0.9399178624153137,0.6716992259025574,0.5680601000785828
0,0,C intra-contrastive,val_seen,0.8817780580075663,0.915643436844028,0.7826292559899117,0.8204602774274905,0.6339848675914249,43.922115325927734,0.5511335730552673,0.06373672187328339
0,0,C intra-contrastive,val_unseen,0.8161148783406462,0.8456339151612163,0.7395791783007579,0.5823693657758278,0.6026126844834464,12.38265609741211,0.5880694389343262,0.24225960671901703
0,0,D H&S inter+intra,val_seen,0.9208701134930644,0.9377225653120181,0.8425283732660782,0.8450504413619168,0.7181588902900379,2.197432041168213,0.6675921082496643,0.36666375398635864
0,0,D H&S inter+intra,val_unseen,0.7745313123254887,0.8299551726427911,0.6591045073793379,0.6234543278819307,0.6050059832469087,1.3297014236450195,0.6145753264427185,0.4909200668334961
0,1,A SAFE-LSTM faithful,val_seen,0.6411033163265306,0.7109071734964273,0.6012436224489797,0.6010841836734694,0.6012436224489796,5.541380405426025,0.7046152353286743,0.5302966237068176
0,1,A SAFE-LSTM faithful,val_unseen,0.5906461906661348,0.6526778622022279,0.5545971280414839,0.5045871559633027,0.5815715995213403,0.6276834011077881,0.542491614818573,0.4571351110935211
0,1,B SAFE-LSTM as-run,val_seen,0.6454081632653061,0.7051125180996554,0.6012436224489797,0.6245216836734694,0.6141581632653061,5.144802093505859,0.7087851762771606,0.5301994681358337
0,1,B SAFE-LSTM as-run,val_unseen,0.5872556840845632,0.6500726068808332,0.5520542481053052,0.5091743119266054,0.5796769046669326,0.6501781344413757,0.5542424917221069,0.4672514796257019
0,1,C intra-contrastive,val_seen,0.8753188775510204,0.9067716493382749,0.7621173469387755,0.8042091836734694,0.6259566326530612,40.20625305175781,0.6633979678153992,0.1711827516555786
0,1,C intra-contrastive,val_unseen,0.8430394894295972,0.8678780472251209,0.775428799361787,0.7669525329078579,0.6340247307538891,21.680213928222656,0.6361095309257507,0.2247736006975174
0,1,D H&S inter+intra,val_seen,0.8781887755102041,0.9124929349868169,0.7657844387755102,0.7729591836734694,0.6635841836734694,2.530390977859497,0.6512388586997986,0.3984086811542511
0,1,D H&S inter+intra,val_unseen,0.800857598723574,0.8484274372968106,0.689170323095333,0.7151475867570802,0.6424012764260072,1.5442134141921997,0.5979806184768677,0.48303309082984924
1,0,A SAFE-LSTM faithful,val_seen,0.5808695652173913,0.6759439144807133,0.561304347826087,0.5449275362318841,0.5482608695652174,4.51889181137085,0.8038066625595093,0.6926419138908386
1,0,A SAFE-LSTM faithful,val_unseen,0.6103081700907788,0.652864962401126,0.5146321070234113,0.5165432393693263,0.5762661251791686,1.2562849521636963,0.758191704750061,0.6813251972198486
1,0,B SAFE-LSTM as-run,val_seen,0.5657971014492753,0.66894885042351,0.5468115942028986,0.5376811594202899,0.553768115942029,3.46608304977417,0.7963100671768188,0.7100996375083923
1,0,B SAFE-LSTM as-run,val_unseen,0.6112637362637363,0.6416326517538055,0.5313545150501673,0.5166029622551361,0.5849259436215958,1.117440104484558,0.7823787927627563,0.7074018716812134
1,0,C intra-contrastive,val_seen,0.8573913043478261,0.8656510833343581,0.8085507246376811,0.7985507246376812,0.5878260869565217,82.05073547363281,0.7437009215354919,0.1834849864244461
1,0,C intra-contrastive,val_unseen,0.7021022455805065,0.7482501135529487,0.6612517916865743,0.6559961777353083,0.5637840420449116,28.361501693725586,0.6385242938995361,0.3469467759132385
1,0,D H&S inter+intra,val_seen,0.8817391304347826,0.9020517550253468,0.7557971014492754,0.7695652173913043,0.6788405797101449,2.4068188667297363,0.739725649356842,0.41416069865226746
1,0,D H&S inter+intra,val_unseen,0.6986383182035356,0.7452877991919471,0.6126373626373627,0.7044314381270903,0.575011944577162,1.5999408960342407,0.6471041440963745,0.5163644552230835
1,1,A SAFE-LSTM faithful,val_seen,0.69968820861678,0.7227726738314436,0.5833333333333334,0.6706349206349207,0.6717687074829932,1.7274656295776367,0.8207719326019287,0.6894471049308777
1,1,A SAFE-LSTM faithful,val_unseen,0.6162804586717631,0.6187023250121695,0.5046583850931676,0.5718466316292403,0.5709507883420927,1.4699835777282715,0.8656424880027771,0.8318538665771484
1,1,B SAFE-LSTM as-run,val_seen,0.6842403628117913,0.6940633174725219,0.5833333333333334,0.6706349206349207,0.657171201814059,1.691494107246399,0.8222914934158325,0.7032219767570496
