fold,seed,detector,task,auroc,n
0,1,hand:cum_mean_token_entropy [task-rel],-1,0.5666134822497009,201
0,1,hand:cum_mean_token_entropy [task-rel],0,0.5192507804370448,62
0,1,hand:cum_mean_token_entropy [task-rel],1,0.7055555555555556,60
0,1,hand:cum_mean_token_entropy [task-rel],4,0.49798387096774194,79
0,1,hand:mean_token_entropy,-1,0.4094535301156761,201
0,1,hand:mean_token_entropy,0,0.5067637877211238,62
0,1,hand:mean_token_entropy,1,0.5644444444444444,60
0,1,hand:mean_token_entropy,4,0.17876344086021506,79
0,1,hand:mean_token_entropy [task-rel],-1,0.4762664539289988,201
0,1,hand:mean_token_entropy [task-rel],0,0.47762747138397504,62
0,1,hand:mean_token_entropy [task-rel],1,0.4666666666666667,60
0,1,hand:mean_token_entropy [task-rel],4,0.4825268817204301,79
0,1,hand:cum_max_token_entropy,-1,0.5755883526126845,201
0,1,hand:cum_max_token_entropy,0,0.4755463059313215,62
0,1,hand:cum_max_token_entropy,1,0.44222222222222224,60
0,1,hand:cum_max_token_entropy,4,0.7956989247311828,79
0,1,hand:cum_max_token_entropy [task-rel],-1,0.45941364180295174,201
0,1,hand:cum_max_token_entropy [task-rel],0,0.36524453694068676,62
0,1,hand:cum_max_token_entropy [task-rel],1,0.66,60
0,1,hand:cum_max_token_entropy [task-rel],4,0.38306451612903225,79
0,1,hand:cum_mean_token_prob,-1,0.5526525727961707,201
0,1,hand:cum_mean_token_prob,0,0.5057232049947971,62
0,1,hand:cum_mean_token_prob,1,0.6822222222222222,60
0,1,hand:cum_mean_token_prob,4,0.4603494623655914,79
0,1,hand:cum_mean_token_prob [task-rel],-1,0.548065416832868,201
0,1,hand:cum_mean_token_prob [task-rel],0,0.5026014568158168,62
0,1,hand:cum_mean_token_prob [task-rel],1,0.6177777777777778,60
0,1,hand:cum_mean_token_prob [task-rel],4,0.5255376344086021,79
0,1,hand:cum_dpos,-1,0.49137415237335463,201
0,1,hand:cum_dpos,0,0.568678459937565,62
0,1,hand:cum_dpos,1,0.43555555555555553,60
0,1,hand:cum_dpos,4,0.4334677419354839,79
0,1,hand:cum_dpos [task-rel],-1,0.5345033905065816,201
0,1,hand:cum_dpos [task-rel],0,0.5254942767950052,62
0,1,hand:cum_dpos [task-rel],1,0.8088888888888889,60
0,1,hand:cum_dpos [task-rel],4,0.3844086021505376,79
0,1,hand:cum_drot,-1,0.5997207818109294,201
0,1,hand:cum_drot,0,0.5379812695109261,62
0,1,hand:cum_drot,1,0.7077777777777777,60
0,1,hand:cum_drot,4,0.739247311827957,79
0,1,hand:cum_drot [task-rel],-1,0.5611288392500997,201
0,1,hand:cum_drot [task-rel],0,0.6462018730489074,62
0,1,hand:cum_drot [task-rel],1,0.5077777777777778,60
0,1,hand:cum_drot [task-rel],4,0.5645161290322581,79
0,1,hand:dgripper,-1,0.4908256880733945,201
0,1,hand:dgripper,0,0.46774193548387094,62
0,1,hand:dgripper,1,0.5,60
0,1,hand:dgripper,4,0.5,79
0,1,hand:dgripper [task-rel],-1,0.47960710011966495,201
0,1,hand:dgripper [task-rel],0,0.43912591050988553,62
0,1,hand:dgripper [task-rel],1,0.49944444444444447,60
0,1,hand:dgripper [task-rel],4,0.5100806451612904,79
1,0,SAFE-MLP,-1,0.714763497372193,183
1,0,SAFE-MLP,0,0.7419354838709677,62
1,0,SAFE-MLP,3,0.7377777777777778,60
1,0,SAFE-MLP,7,0.9903225806451613,61
1,0,SAFE-MLP [task-rel],-1,0.6002150023889155,183
1,0,SAFE-MLP [task-rel],0,0.5026014568158168,62
1,0,SAFE-MLP [task-rel],3,0.7255555555555555,60
1,0,SAFE-MLP [task-rel],7,0.6053763440860215,61
1,0,H&S,-1,0.668179646440516,183
1,0,H&S,0,0.6087408949011447,62
1,0,H&S,3,0.47444444444444445,60
1,0,H&S,7,0.9311827956989247,61
1,0,H&S [task-rel],-1,0.615145723841376,183
1,0,H&S [task-rel],0,0.5598335067637877,62
1,0,H&S [task-rel],3,0.47444444444444445,60
1,0,H&S [task-rel],7,0.8064516129032258,61
1,0,SAFE-Embed,-1,0.6573100812231247,183
1,0,SAFE-Embed,0,0.7908428720083247,62
1,0,SAFE-Embed,3,0.29444444444444445,60
1,0,SAFE-Embed,7,0.9709677419354839,61
1,0,SAFE-Embed [task-rel],-1,0.608337314859054,183
1,0,SAFE-Embed [task-rel],0,0.6971904266389178,62
1,0,SAFE-Embed [task-rel],3,0.41333333333333333,60
1,0,SAFE-Embed [task-rel],7,0.9150537634408602,61
1,0,hand:cum_mean_token_entropy,-1,0.5520783564261825,183
1,0,hand:cum_mean_token_entropy,0,0.5067637877211238,62
1,0,hand:cum_mean_token_entropy,3,0.5277777777777778,60
1,0,hand:cum_mean_token_entropy,7,0.6258064516129033,61
1,0,hand:cum_mean_token_entropy [task-rel],-1,0.5418060200668896,183
1,0,hand:cum_mean_token_entropy [task-rel],0,0.5192507804370448,62
1,0,hand:cum_mean_token_entropy [task-rel],3,0.61,60
1,0,hand:cum_mean_token_entropy [task-rel],7,0.4913978494623656,61
1,0,hand:mean_token_entropy,-1,0.3843764930721452,183
1,0,hand:mean_token_entropy,0,0.43912591050988553,62
1,0,hand:mean_token_entropy,3,0.2822222222222222,60
1,0,hand:mean_token_entropy,7,0.3817204301075269,61
1,0,hand:mean_token_entropy [task-rel],-1,0.407190635451505,183
1,0,hand:mean_token_entropy [task-rel],0,0.449531737773153,62
1,0,hand:mean_token_entropy [task-rel],3,0.39222222222222225,60
1,0,hand:mean_token_entropy [task-rel],7,0.3688172043010753,61
1,0,hand:cum_max_token_entropy,-1,0.59089823220258,183
1,0,hand:cum_max_token_entropy,0,0.4755463059313215,62
1,0,hand:cum_max_token_entropy,3,0.7866666666666666,60
1,0,hand:cum_max_token_entropy,7,0.5333333333333333,61
1,0,hand:cum_max_token_entropy [task-rel],-1,0.5381032011466794,183
1,0,hand:cum_max_token_entropy [task-rel],0,0.36524453694068676,62
1,0,hand:cum_max_token_entropy [task-rel],3,0.6977777777777778,60
1,0,hand:cum_max_token_entropy [task-rel],7,0.5344086021505376,61
1,0,hand:cum_mean_token_prob,-1,0.4267797419971333,183
1,0,hand:cum_mean_token_prob,0,0.5057232049947971,62
1,0,hand:cum_mean_token_prob,3,0.3466666666666667,60
1,0,hand:cum_mean_token_prob,7,0.4118279569892473,61
1,0,hand:cum_mean_token_prob [task-rel],-1,0.5047778308647873,183
1,0,hand:cum_mean_token_prob [task-rel],0,0.5026014568158168,62
1,0,hand:cum_mean_token_prob [task-rel],3,0.54,60
1,0,hand:cum_mean_token_prob [task-rel],7,0.4645161290322581,61
1,0,hand:cum_dpos,-1,0.3792403248924988,183
1,0,hand:cum_dpos,0,0.3267429760665973,62
1,0,hand:cum_dpos,3,0.21222222222222223,60
1,0,hand:cum_dpos,7,0.4731182795698925,61
1,0,hand:cum_dpos [task-rel],-1,0.5258002866698519,183
1,0,hand:cum_dpos [task-rel],0,0.4547346514047867,62
1,0,hand:cum_dpos [task-rel],3,0.6444444444444445,60
1,0,hand:cum_dpos [task-rel],7,0.4483870967741935,61
1,0,hand:cum_drot,-1,0.49713330148112755,183
1,0,hand:cum_drot,0,0.5379812695109261,62
1,0,hand:cum_drot,3,0.3022222222222222,60
1,0,hand:cum_drot,7,0.5989247311827957,61
1,0,hand:cum_drot [task-rel],-1,0.575011944577162,183
1,0,hand:cum_drot [task-rel],0,0.6462018730489074,62
1,0,hand:cum_drot [task-rel],3,0.6811111111111111,60
1,0,hand:cum_drot [task-rel],7,0.3247311827956989,61
1,0,hand:dgripper,-1,0.5,183
1,0,hand:dgripper,0,0.5,62
1,0,hand:dgripper,3,0.5,60
1,0,hand:dgripper,7,0.5,61
1,0,hand:dgripper [task-rel],-1,0.5080625895843287,183
1,0,hand:dgripper [task-rel],0,0.5312174817898023,62
1,0,hand:dgripper [task-rel],3,0.5166666666666667,60
1,0,hand:dgripper [task-rel],7,0.4838709677419355,61
1,1,SAFE-MLP,-1,0.7145246058289536,183
1,1,SAFE-MLP,0,0.7793964620187305,62
1,1,SAFE-MLP,3,0.7888888888888889,60
1,1,SAFE-MLP,7,0.978494623655914,61
1,1,SAFE-MLP [task-rel],-1,0.5971094123268036,183
1,1,SAFE-MLP [task-rel],0,0.46826222684703434,62
1,1,SAFE-MLP [task-rel],3,0.6811111111111111,60
1,1,SAFE-MLP [task-rel],7,0.6774193548387096,61
1,1,H&S,-1,0.6266125179168658,183
1,1,H&S,0,0.5639958376690947,62
1,1,H&S,3,0.42444444444444446,60
1,1,H&S,7,0.921505376344086,61
1,1,H&S [task-rel],-1,0.590181557572862,183
1,1,H&S [task-rel],0,0.5130072840790842,62
1,1,H&S [task-rel],3,0.4088888888888889,60
1,1,H&S [task-rel],7,0.8741935483870967,61
1,1,SAFE-Embed,-1,0.6372431915910177,183
1,1,SAFE-Embed,0,0.7700312174817898,62
1,1,SAFE-Embed,3,0.2788888888888889,60
1,1,SAFE-Embed,7,0.967741935483871,61
1,1,SAFE-Embed [task-rel],-1,0.5870759675107501,183
1,1,SAFE-Embed [task-rel],0,0.659729448491155,62
1,1,SAFE-Embed [task-rel],3,0.4111111111111111,60
1,1,SAFE-Embed [task-rel],7,0.8817204301075269,61
1,1,hand:cum_mean_token_entropy,-1,0.5520783564261825,183
1,1,hand:cum_mean_token_entropy,0,0.5067637877211238,62
1,1,hand:cum_mean_token_entropy,3,0.5277777777777778,60
1,1,hand:cum_mean_token_entropy,7,0.6258064516129033,61
1,1,hand:cum_mean_token_entropy [task-rel],-1,0.5418060200668896,183
1,1,hand:cum_mean_token_entropy [task-rel],0,0.5192507804370448,62
1,1,hand:cum_mean_token_entropy [task-rel],3,0.61,60
1,1,hand:cum_mean_token_entropy [task-rel],7,0.4913978494623656,61
1,1,hand:mean_token_entropy,-1,0.3843764930721452,183
1,1,hand:mean_token_entropy,0,0.43912591050988553,62
1,1,hand:mean_token_entropy,3,0.2822222222222222,60
1,1,hand:mean_token_entropy,7,0.3817204301075269,61
1,1,hand:mean_token_entropy [task-rel],-1,0.407190635451505,183
1,1,hand:mean_token_entropy [task-rel],0,0.449531737773153,62
1,1,hand:mean_token_entropy [task-rel],3,0.39222222222222225,60
1,1,hand:mean_token_entropy [task-rel],7,0.3688172043010753,61
1,1,hand:cum_max_token_entropy,-1,0.59089823220258,183
1,1,hand:cum_max_token_entropy,0,0.4755463059313215,62
1,1,hand:cum_max_token_entropy,3,0.7866666666666666,60
1,1,hand:cum_max_token_entropy,7,0.5333333333333333,61
1,1,hand:cum_max_token_entropy [task-rel],-1,0.5381032011466794,183
1,1,hand:cum_max_token_entropy [task-rel],0,0.36524453694068676,62
1,1,hand:cum_max_token_entropy [task-rel],3,0.6977777777777778,60
1,1,hand:cum_max_token_entropy [task-rel],7,0.5344086021505376,61
