fold,seed,detector,frac,auroc
0,0,hand:cum_max_token_entropy,0.9,0.5796769046669326
0,0,hand:cum_max_token_entropy,1.0,0.5755883526126845
0,0,hand:cum_max_token_entropy [task-rel],0.1,0.5087754287993618
0,0,hand:cum_max_token_entropy [task-rel],0.2,0.5120662145991225
0,0,hand:cum_max_token_entropy [task-rel],0.3,0.47576785001994415
0,0,hand:cum_max_token_entropy [task-rel],0.4,0.46788990825688076
0,0,hand:cum_max_token_entropy [task-rel],0.5,0.47337455125648187
0,0,hand:cum_max_token_entropy [task-rel],0.6,0.4698843238930993
0,0,hand:cum_max_token_entropy [task-rel],0.7,0.4596130833665736
0,0,hand:cum_max_token_entropy [task-rel],0.8,0.45941364180295174
0,0,hand:cum_max_token_entropy [task-rel],0.9,0.45951336258476266
0,0,hand:cum_max_token_entropy [task-rel],1.0,0.45941364180295174
0,0,hand:cum_mean_token_prob,0.1,0.5526525727961707
0,0,hand:cum_mean_token_prob,0.2,0.5526525727961707
0,0,hand:cum_mean_token_prob,0.3,0.5526525727961707
0,0,hand:cum_mean_token_prob,0.4,0.5526525727961707
0,0,hand:cum_mean_token_prob,0.5,0.5526525727961707
0,0,hand:cum_mean_token_prob,0.6,0.5526525727961707
0,0,hand:cum_mean_token_prob,0.7,0.5526525727961707
0,0,hand:cum_mean_token_prob,0.8,0.5526525727961707
0,0,hand:cum_mean_token_prob,0.9,0.5526525727961707
0,0,hand:cum_mean_token_prob,1.0,0.5526525727961707
0,0,hand:cum_mean_token_prob [task-rel],0.1,0.525528520143598
0,0,hand:cum_mean_token_prob [task-rel],0.2,0.46679297965696054
0,0,hand:cum_mean_token_prob [task-rel],0.3,0.5051854806541684
0,0,hand:cum_mean_token_prob [task-rel],0.4,0.5363980853609892
0,0,hand:cum_mean_token_prob [task-rel],0.5,0.5458715596330275
0,0,hand:cum_mean_token_prob [task-rel],0.6,0.5462704427602713
0,0,hand:cum_mean_token_prob [task-rel],0.7,0.5440765855604308
0,0,hand:cum_mean_token_prob [task-rel],0.8,0.5455723972875948
0,0,hand:cum_mean_token_prob [task-rel],0.9,0.5501595532508975
0,0,hand:cum_mean_token_prob [task-rel],1.0,0.548065416832868
0,0,hand:cum_dpos,0.1,0.49137415237335463
0,0,hand:cum_dpos,0.2,0.49137415237335463
0,0,hand:cum_dpos,0.3,0.49137415237335463
0,0,hand:cum_dpos,0.4,0.49137415237335463
0,0,hand:cum_dpos,0.5,0.49137415237335463
