fold,seed,held,detector,alpha,method,order,auroc,coverage,false_alarm,nominal_cov,cov_gap,n_success,alpha_final,tpr,tnr,bal_acc,det_time,n_detected
0,0,"0,1,4",SAFE-MLP,0.1,split CP (SAFE),blocked,0.7733346629437575,0.7717391304347826,0.22826086956521738,0.9,-0.12826086956521743,92,0.1,0.43119266055045874,0.7717391304347826,0.6014658954926206,0.28765957446808504,47
0,0,"0,1,4",SAFE-MLP,0.1,split CP (n+1 corr.),blocked,0.7733346629437575,1.0,0.0,0.9,0.09999999999999998,92,0.1,0.27522935779816515,1.0,0.6376146788990826,0.7266666666666666,30
0,0,"0,1,4",SAFE-MLP,0.1,DtACI,blocked,0.7733346629437575,0.9021739130434783,0.09782608695652174,0.9,0.0021739130434782483,92,0.07000154733447117,0.43119266055045874,0.9021739130434783,0.6666832867969685,0.5974468085106382,47
0,0,"0,1,4",SAFE-MLP,0.1,DtACI (grow cal),blocked,0.7733346629437575,0.8695652173913043,0.13043478260869565,0.9,-0.0304347826086957,92,0.0723849052462813,0.43119266055045874,0.8695652173913043,0.6503789389708815,0.4697872340425532,47
0,0,"0,1,4",SAFE-MLP,0.1,ACI g=0.005,blocked,0.7733346629437575,0.8478260869565217,0.15217391304347827,0.9,-0.05217391304347829,92,0.07549999999999998,0.4036697247706422,0.8478260869565217,0.625747905863582,0.4986363636363636,44
0,0,"0,1,4",SAFE-MLP,0.1,ACI g=0.005 (grow cal),blocked,0.7733346629437575,0.8369565217391304,0.16304347826086957,0.9,-0.06304347826086965,92,0.07049999999999998,0.3944954128440367,0.8369565217391304,0.6157259672915836,0.5330232558139535,43
0,0,"0,1,4",SAFE-MLP,0.1,ACI g=0.01,blocked,0.7733346629437575,0.8695652173913043,0.13043478260869565,0.9,-0.0304347826086957,92,0.07099999999999998,0.3394495412844037,0.8695652173913043,0.604507379337854,0.5443243243243243,37
0,0,"0,1,4",SAFE-MLP,0.1,ACI g=0.01 (grow cal),blocked,0.7733346629437575,0.8586956521739131,0.14130434782608695,0.9,-0.04130434782608694,92,0.06099999999999999,0.3853211009174312,0.8586956521739131,0.6220083765456721,0.550952380952381,42
0,0,"0,1,4",SAFE-MLP,0.1,ACI g=0.05,blocked,0.7733346629437575,0.8913043478260869,0.10869565217391304,0.9,-0.008695652173913104,92,0.05500000000000024,0.3853211009174312,0.8913043478260869,0.638312724371759,0.6009523809523809,42
0,0,"0,1,4",SAFE-MLP,0.1,ACI g=0.05 (grow cal),blocked,0.7733346629437575,0.8913043478260869,0.10869565217391304,0.9,-0.008695652173913104,92,0.05600000000000005,0.44954128440366975,0.8913043478260869,0.6704228161148783,0.5787755102040816,49
0,0,"0,1,4",SAFE-MLP,0.1,split CP (SAFE),shuffled,0.7733346629437575,0.7717391304347826,0.22826086956521738,0.9,-0.12826086956521743,92,0.1,0.43119266055045874,0.7717391304347826,0.6014658954926206,0.28765957446808504,47
0,0,"0,1,4",SAFE-MLP,0.1,split CP (n+1 corr.),shuffled,0.7733346629437575,1.0,0.0,0.9,0.09999999999999998,92,0.1,0.27522935779816515,1.0,0.6376146788990826,0.7266666666666667,30
0,0,"0,1,4",SAFE-MLP,0.1,DtACI,shuffled,0.7733346629437575,0.8586956521739131,0.14130434782608695,0.9,-0.04130434782608694,92,0.036071952047864994,0.41284403669724773,0.8586956521739131,0.6357698444355804,0.4875555555555557,45
0,0,"0,1,4",SAFE-MLP,0.1,DtACI (grow cal),shuffled,0.7733346629437575,0.8695652173913043,0.13043478260869565,0.9,-0.0304347826086957,92,0.06557895021249376,0.3761467889908257,0.8695652173913043,0.622856003191065,0.48,41
0,0,"0,1,4",SAFE-MLP,0.1,ACI g=0.005,shuffled,0.7733346629437575,0.8369565217391304,0.16304347826086957,0.9,-0.06304347826086965,92,0.07099999999999998,0.4036697247706422,0.8369565217391304,0.6203131232548863,0.39499999999999996,44
0,0,"0,1,4",SAFE-MLP,0.1,ACI g=0.005 (grow cal),shuffled,0.7733346629437575,0.8369565217391304,0.16304347826086957,0.9,-0.06304347826086965,92,0.07099999999999998,0.3761467889908257,0.8369565217391304,0.606551655364978,0.4551219512195122,41
